,Unnamed: 0.1,Unnamed: 0,Country,Year,Area harvested,Yield,Production,cloud_cover_01,snow_thickness_lwe_01,snow_thickness_01,vapour_pressure_01,2m_temperature_01,10m_wind_speed_01,2m_dewpoint_temperature_01,cloud_cover_02,snow_thickness_lwe_02,snow_thickness_02,vapour_pressure_02,2m_temperature_02,10m_wind_speed_02,2m_dewpoint_temperature_02,cloud_cover_03,snow_thickness_lwe_03,snow_thickness_03,vapour_pressure_03,2m_temperature_03,10m_wind_speed_03,2m_dewpoint_temperature_03,cloud_cover_04,snow_thickness_lwe_04,snow_thickness_04,vapour_pressure_04,2m_temperature_04,10m_wind_speed_04,2m_dewpoint_temperature_04,cloud_cover_05,snow_thickness_lwe_05,snow_thickness_05,vapour_pressure_05,2m_temperature_05,10m_wind_speed_05,2m_dewpoint_temperature_05,cloud_cover_06,snow_thickness_lwe_06,snow_thickness_06,vapour_pressure_06,2m_temperature_06,10m_wind_speed_06,2m_dewpoint_temperature_06,cloud_cover_07,snow_thickness_lwe_07,snow_thickness_07,vapour_pressure_07,2m_temperature_07,10m_wind_speed_07,2m_dewpoint_temperature_07,cloud_cover_08,snow_thickness_lwe_08,snow_thickness_08,vapour_pressure_08,2m_temperature_08,10m_wind_speed_08,2m_dewpoint_temperature_08,cloud_cover_09,snow_thickness_lwe_09,snow_thickness_09,vapour_pressure_09,2m_temperature_09,10m_wind_speed_09,2m_dewpoint_temperature_09,cloud_cover_10,snow_thickness_lwe_10,snow_thickness_10,vapour_pressure_10,2m_temperature_10,10m_wind_speed_10,2m_dewpoint_temperature_10,cloud_cover_11,snow_thickness_lwe_11,snow_thickness_11,vapour_pressure_11,2m_temperature_11,10m_wind_speed_11,2m_dewpoint_temperature_11,cloud_cover_12,snow_thickness_lwe_12,snow_thickness_12,vapour_pressure_12,2m_temperature_12,10m_wind_speed_12,2m_dewpoint_temperature_12
0,0,0,Angola,1961,15000.0,60000.0,90000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,Angola,1962,15000.0,66667.0,100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2,Angola,1963,17000.0,73529.0,125000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,3,Angola,1964,18000.0,77778.0,140000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,4,Angola,1965,18000.0,83333.0,150000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,5,Angola,1966,16000.0,78125.0,125000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,6,Angola,1967,17000.0,85294.0,145000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,7,Angola,1968,17000.0,82353.0,140000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,8,Angola,1969,17000.0,85294.0,145000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,9,Angola,1970,18000.0,81667.0,147000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,10,Angola,1971,18000.0,83333.0,150000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,11,Angola,1972,18000.0,86111.0,155000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,12,Angola,1973,18000.0,88889.0,160000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,13,Angola,1974,18000.0,88889.0,160000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,14,Angola,1975,18000.0,88889.0,160000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,15,Angola,1976,18000.0,89444.0,161000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,16,Angola,1977,18000.0,90000.0,162000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,17,Angola,1978,18000.0,90000.0,162000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,18,Angola,1979,18000.0,90000.0,162000.0,0.894028127,0.0,0.0,21.43031502,294.6401978,1.502611756,291.6512146,0.869398952,0.0,0.0,20.08137703,295.0372009,1.770577073,290.5466919,0.856192052,0.0,0.0,20.73950386,294.7757874,1.559540868,291.0593872,0.693565905,0.0,0.0,20.30172348,295.3348694,1.725281477,290.5656128,0.449951023,0.0,0.0,16.76316643,295.3614807,2.045350313,287.2972107,0.260279685,0.0,0.0,12.13383865,294.8263245,2.387410641,282.0013733,0.233127058,0.0,0.0,11.32131481,294.8426208,2.343400478,281.0608826,0.395548046,0.0,0.0,14.54103661,295.8620911,2.075479746,285.0124817,0.464073062,0.0,0.0,17.66767502,296.1099243,1.961248517,288.3188782,0.648682475,0.0,0.0,19.74214363,295.5342407,1.640378594,290.2622986,0.841351211,0.0,0.0,20.56918716,294.8318787,1.486991405,290.9925232,0.873786449,0.0,0.0,20.21295929,294.5839844,1.608448148,290.6855469
19,19,19,Angola,1980,18000.0,91667.0,165000.0,0.847261667,0.0,0.0,20.09324074,295.1652832,1.769409537,290.5651245,0.878744304,0.0,0.0,21.15078163,295.1679077,1.51655817,291.4346008,0.78858161,0.0,0.0,20.32196808,295.4786072,1.804379702,290.6835327,0.738852561,0.0,0.0,20.11228561,295.3460388,1.771844625,290.3686523,0.445745468,0.0,0.0,15.34152889,295.9986877,2.122794628,285.723053,0.163001508,0.0,0.0,11.28403378,295.1382446,2.21813345,280.9143982,0.264474988,0.0,0.0,10.29066086,294.9859619,2.358530998,279.5712891,0.331992865,0.0,0.0,12.14495373,296.3317261,2.282331228,282.0568237,0.473054528,0.0,0.0,16.86933136,296.2519836,1.945878625,287.5178833,0.69668287,0.0,0.0,19.80732536,295.583252,1.697519779,290.331604,0.755103171,0.0,0.0,20.01755333,294.9078674,1.520949721,290.5191345,0.850992799,0.0,0.0,19.94890022,294.6461792,1.696364403,290.4333801
20,20,20,Angola,1981,18000.0,91667.0,165000.0,0.889161527,0.0,0.0,20.02740288,294.9092712,1.671251535,290.4971619,0.848683238,0.0,0.0,19.49541092,295.4558105,1.975203395,290.013855,0.805977464,0.0,0.0,20.25132561,295.1419678,1.663464069,290.6838684,0.537958562,0.0,0.0,18.8392086,295.8235474,1.766261935,289.3666382,0.337571144,0.0,0.0,14.07794571,295.9698792,2.115708351,284.4962769,0.144931167,0.0,0.0,11.01021481,295.3141479,2.246752739,280.6667175,0.260402292,0.0,0.0,10.28213406,295.0860901,2.225897789,279.7432861,0.427976847,0.0,0.0,12.81703949,295.9745483,2.105249405,283.0297241,0.500158846,0.0,0.0,16.55187035,296.1638489,2.059160233,287.1113586,0.748583972,0.0,0.0,20.30963516,295.3798218,1.608447671,290.7947083,0.826095343,0.0,0.0,20.88040733,294.8992004,1.534750819,291.2481689,0.864848971,0.0,0.0,21.29034996,294.8099365,1.43087852,291.5733643
21,21,21,Angola,1982,18000.0,91667.0,165000.0,0.894883096,0.0,0.0,20.6398983,294.7342834,1.704425931,291.0418701,0.88934058,0.0,0.0,20.5800724,294.9222107,1.686837792,290.9766235,0.844628692,0.0,0.0,21.24401855,295.072113,1.57077682,291.4936829,0.760147929,0.0,0.0,21.02163315,294.8605347,1.561819077,291.3210144,0.41803351,0.0,0.0,16.66474342,295.1000671,1.955080152,287.2185974,0.279757887,0.0,0.0,13.49285412,294.875885,2.064744473,283.8673706,0.201332957,0.0,0.0,11.53038216,294.7555237,2.327017784,281.4575806,0.35226199,0.0,0.0,12.84320259,295.790802,2.16794014,282.871521,0.502995372,0.0,0.0,17.33751678,295.7914124,1.9158957,287.9059143,0.772467315,0.0,0.0,19.78481674,294.8793335,1.587152958,290.3728638,0.843358994,0.0,0.0,20.31663704,294.6399231,1.633892775,290.7808533,0.865010858,0.0,0.0,20.83499336,294.9944458,1.543000221,291.1870422
22,22,22,Angola,1983,18000.0,91667.0,165000.0,0.867838979,0.0,0.0,21.72393417,294.8937073,1.500754118,291.8938293,0.855573237,0.0,0.0,21.98746872,295.4573669,1.553285956,292.0719299,0.848580301,0.0,0.0,22.60380745,295.5820007,1.477618694,292.5121155,0.611678541,0.0,0.0,20.6615715,295.6950073,1.741488695,290.8715515,0.389494568,0.0,0.0,18.46491241,296.1124573,1.875272512,288.9375,0.196670577,0.0,0.0,13.85326958,295.0262451,2.069650888,284.1318359,0.213059053,0.0,0.0,11.68328476,295.3117676,2.231904507,281.6057434,0.26443702,0.0,0.0,10.94592476,295.7795715,2.298001528,280.3507996,0.384771764,0.0,0.0,15.9186554,296.5913696,2.073661089,286.4819336,0.712896466,0.0,0.0,19.66115952,295.2184753,1.686242461,290.2617798,0.816669464,0.0,0.0,20.62022591,294.9010315,1.492490649,291.0458984,0.827930987,0.0,0.0,19.33887863,294.7792358,1.797406673,289.8995361
23,23,23,Angola,1984,19000.0,89474.0,170000.0,0.888653517,0.0,0.0,19.93057823,294.1687927,1.674605131,290.4411926,0.857441723,0.0,0.0,20.13138771,294.8766479,1.729085207,290.5948486,0.829209685,0.0,0.0,21.26139069,294.9523621,1.514726877,291.5082703,0.694801867,0.0,0.0,19.85384941,295.1856689,1.92281878,290.2242737,0.510454416,0.0,0.0,17.74515724,295.6271667,1.97880733,288.1520691,0.213783279,0.0,0.0,12.43167019,295.5016785,2.256880522,282.5474243,0.19004564,0.0,0.0,9.544962883,295.2736206,2.387880325,278.3259277,0.251322955,0.0,0.0,11.36687279,296.549469,2.290139675,280.7866516,0.494898409,0.0,0.0,16.78264618,296.2084045,1.938669682,287.4420776,0.688007057,0.0,0.0,19.67984962,295.5371094,1.664916873,290.2147827,0.858225644,0.0,0.0,20.60289764,294.5162964,1.455525279,291.0377808,0.868432939,0.0,0.0,20.28416443,294.5613708,1.703038692,290.7494507
24,24,24,Angola,1985,19000.0,89474.0,170000.0,0.876841426,0.0,0.0,20.25260735,294.9508362,1.702970982,290.6911011,0.800553679,0.0,0.0,18.18461227,295.1830444,2.080598354,288.7984314,0.838928044,0.0,0.0,20.85356903,295.171051,1.66133678,291.1749268,0.713634551,0.0,0.0,19.60647774,294.6911926,1.722102642,290.0285034,0.440836877,0.0,0.0,17.07443428,294.8338928,1.990051508,287.5702515,0.162077352,0.0,0.0,11.14666367,294.4543762,2.292877674,280.8794556,0.241139501,0.0,0.0,10.26468372,294.7677917,2.370674133,279.441925,0.338582039,0.0,0.0,11.7871685,296.0269165,2.242342949,281.4300232,0.555550933,0.0,0.0,16.66838646,295.9203796,1.921874881,287.3156433,0.721416056,0.0,0.0,19.94789505,295.0812683,1.576911211,290.4717102,0.794580698,0.0,0.0,20.17037773,294.8408203,1.582001925,290.6029053,0.851067364,0.0,0.0,20.68133163,294.6783752,1.56411314,291.0561218
25,25,25,Angola,1986,19000.0,89474.0,170000.0,0.883214593,0.0,0.0,20.40141487,294.4024658,1.725318789,290.8309631,0.863182724,0.0,0.0,20.19085693,294.7393188,1.760918021,290.6287231,0.852990508,0.0,0.0,20.67424774,294.6294861,1.570447326,291.0452881,0.730361819,0.0,0.0,20.9952774,295.0231018,1.698527217,291.2366333,0.415291548,0.0,0.0,16.15714073,296.0873718,2.17180419,286.6665649,0.271858364,0.0,0.0,12.78724766,294.8519592,2.166760445,282.7806396,0.248819917,0.0,0.0,10.409688,294.997406,2.288377762,279.6656799,0.280739933,0.0,0.0,12.49126911,296.1546631,2.146355391,282.4205627,0.445727259,0.0,0.0,16.49976921,296.1296082,1.9576056,287.1406555,0.758126557,0.0,0.0,19.75784492,294.9242249,1.620458722,290.3343811,0.847516775,0.0,0.0,20.55737305,294.6360779,1.480468392,290.9811707,0.849876583,0.0,0.0,20.66987801,294.6340637,1.647237062,291.0449524
26,26,26,Angola,1987,19000.0,89474.0,170000.0,0.862777352,0.0,0.0,20.08726311,295.1223755,1.807633996,290.5669556,0.873776793,0.0,0.0,20.95512581,295.2936707,1.635043263,291.2700806,0.808636963,0.0,0.0,21.62014198,295.2153015,1.571124434,291.7938232,0.711198986,0.0,0.0,21.11693001,295.5691528,1.644609213,291.2580261,0.470988929,0.0,0.0,17.73280716,296.1036072,1.918152809,288.0555115,0.109885454,0.0,0.0,10.95774746,294.8982849,2.273429871,280.2789001,0.21627149,0.0,0.0,11.5038414,295.6463623,2.19717741,281.125,0.312591821,0.0,0.0,13.30230522,296.6098938,2.184812784,283.3383179,0.599042296,0.0,0.0,18.9638958,296.0100403,1.78601861,289.6436462,0.724370897,0.0,0.0,20.74735832,295.5448608,1.575720549,291.1263428,0.821734011,0.0,0.0,21.70767593,295.2502136,1.462884426,291.8904724,0.83378762,0.0,0.0,21.38387871,295.2113037,1.582257271,291.6310425
